"website";"flightno";"depsched";"depact";"depgate";"arrivalsched";"arrivalact";"arrivalgat"
"aa";"AA-1309-DFW-SFO";2011-12-01 13:55:00;2011-12-01 14:13:00;"C27";2011-12-01 15:40:00;2011-12-01 15:30:00;"58A"
"aa";"AA-1735-MIA-KIN";2011-12-01 12:40:00;2011-12-01 13:01:00;"D42";2011-12-01 14:15:00;2011-12-01 14:27:00;
"aa";"AA-3744-EWR-ORD";2011-12-01 21:00:00;2011-12-01 21:33:00;"30";2011-12-01 22:30:00;2011-12-01 22:38:00;"G11"
"aa";"AA-1066-DFW-DCA";2011-12-01 10:30:00;2011-12-01 10:43:00;"D38";2011-12-01 14:10:00;2011-12-01 14:15:00;"28"
"aa";"AA-3806-LAX-PHX";2011-12-01 15:05:00;2011-12-01 17:17:00;"44F";2011-12-01 17:20:00;;"2"
"aa";"AA-1279-DFW-PHX";2011-12-01 13:00:00;2011-12-01 14:04:00;"C36";2011-12-01 14:35:00;2011-12-01 15:30:00;"4"
"aa";"AA-1201-ORD-STL";2011-12-01 15:10:00;2011-12-01 15:22:00;"K13";2011-12-01 16:15:00;2011-12-01 16:13:00;"D18"
"aa";"AA-971-MIA-SJO";2011-12-01 09:25:00;;"D38";2011-12-01 11:10:00;;"5"
"aa";"AA-2459-DFW-LAX";2011-12-01 16:45:00;2011-12-01 17:00:00;"D40";2011-12-01 18:10:00;2011-12-01 18:16:00;"47A"
"aa";"AA-2574-MIA-ATL";2011-12-01 18:55:00;2011-12-01 19:07:00;"D37";2011-12-01 20:55:00;2011-12-01 20:47:00;"T12"
"aa";"AA-25-BOS-LAX";2011-12-01 07:45:00;2011-12-01 08:01:00;"B31";2011-12-01 11:30:00;2011-12-01 11:46:00;"42B"
"aa";"AA-466-IAH-MIA";2011-12-01 06:00:00;2011-12-01 06:08:00;"A27";2011-12-01 09:20:00;2011-12-01 09:05:00;"D1"
"aa";"AA-3801-PHX-LAX";2011-12-01 10:50:00;2011-12-01 11:19:00;"2";2011-12-01 11:30:00;;"44F"
"aa";"AA-1999-EWR-MIA";2011-12-01 16:50:00;2011-12-01 17:13:00;"34";2011-12-01 20:10:00;2011-12-01 19:39:00;"D33"
"aa";"AA-1077-DFW-SFO";2011-12-01 07:45:00;2011-12-01 08:06:00;"C35";2011-12-01 09:30:00;2011-12-01 09:21:00;"55"
"aa";"AA-858-TPA-MIA";2011-12-01 06:55:00;2011-12-01 07:05:00;"F79";2011-12-01 07:55:00;2011-12-01 07:49:00;"D43"
"aa";"AA-954-TGU-MIA";2011-12-01 14:35:00;2011-12-01 14:54:00;"02";2011-12-01 17:50:00;2011-12-01 17:56:00;"D47"
"aa";"AA-2111-MIA-LIM";2011-12-01 18:30:00;2011-12-01 18:40:00;"D25";2011-12-01 00:05:00;;
"aa";"AA-5093-CVG-ORD";2011-12-01 14:15:00;2011-12-01 14:25:00;"5";2011-12-01 14:45:00;2011-12-01 14:22:00;"L6A"
"aa";"AA-1592-DFW-MCO";2011-12-01 12:40:00;2011-12-01 13:43:00;"C39";2011-12-01 16:00:00;2011-12-01 17:01:00;"16"
"aa";"AA-2431-DFW-LAX";2011-12-01 12:30:00;2011-12-01 12:51:00;"C26";2011-12-01 14:00:00;2011-12-01 13:52:00;"42B"
"aa";"AA-789-ORD-DEN";2011-12-01 13:05:00;2011-12-01 13:19:00;"H11A";2011-12-01 14:35:00;2011-12-01 15:13:00;"A49"
"aa";"AA-3545-MIA-MEM";2011-12-01 11:25:00;2011-12-01 11:37:00;"D60";2011-12-01 13:05:00;2011-12-01 12:48:00;"C12A"
"aa";"AA-706-DEN-ORD";2011-12-01 15:40:00;2011-12-01 16:34:00;"A49";2011-12-01 19:15:00;2011-12-01 19:32:00;"H14"
"aa";"AA-1718-ORD-BOS";2011-12-01 09:10:00;2011-12-01 10:53:00;"H9";2011-12-01 12:15:00;2011-12-01 13:45:00;"B35"
"aa";"AA-252-LAX-MIA";2011-12-01 14:10:00;2011-12-01 15:17:00;"47B";2011-12-01 21:55:00;2011-12-01 22:42:00;"D37"
"aa";"AA-21-JFK-LAX";2011-12-01 19:10:00;2011-12-01 19:29:00;"16";2011-12-01 22:30:00;;"46A"
"aa";"AA-1397-DCA-DFW";2011-12-01 11:30:00;2011-12-01 11:44:00;"28";2011-12-01 14:05:00;2011-12-01 13:40:00;"C4"
"aa";"AA-645-MIA-STT";2011-12-01 10:20:00;2011-12-01 10:39:00;"D4";2011-12-01 13:50:00;;"4"
"aa";"AA-1710-LAS-DFW";2011-12-01 14:45:00;;"D39";2011-12-01 19:25:00;;"C26"
"aa";"AA-4010-CLT-ORD";2011-12-01 18:00:00;2011-12-01 18:06:00;"A11";2011-12-01 19:35:00;2011-12-01 19:03:00;"G19"
"aa";"AA-3063-LAX-SBA";2011-12-01 22:00:00;;"44I";2011-12-01 22:40:00;;
"aa";"AA-2050-ORD-MIA";2011-12-01 10:40:00;2011-12-01 11:05:00;"H15";2011-12-01 14:45:00;2011-12-01 14:46:00;"D1"
"aa";"AA-1974-SFO-LAX";2011-12-01 09:15:00;2011-12-01 09:23:00;"58B";2011-12-01 10:45:00;2011-12-01 10:30:00;"45"
"aa";"AA-2328-DFW-ORD";2011-12-01 07:35:00;2011-12-01 07:44:00;"C24";2011-12-01 10:00:00;2011-12-01 09:35:00;"H11B"
"aa";"AA-3750-MSP-ORD";2011-12-01 20:20:00;2011-12-01 20:26:00;"E12";2011-12-01 21:45:00;2011-12-01 21:42:00;"H2"
"aa";"AA-3836-ORD-PHL";2011-12-01 08:30:00;2011-12-01 09:32:00;"G1B";2011-12-01 11:25:00;2011-12-01 12:01:00;"A7"
"aa";"AA-3752-ORD-CLE";2011-12-01 21:45:00;2011-12-01 21:58:00;"H4";2011-12-01 23:55:00;2011-12-01 23:49:00;"A3"
"aa";"AA-2098-SEA-ORD";2011-12-01 08:25:00;2011-12-01 08:48:00;"A8";2011-12-01 14:25:00;2011-12-01 14:21:00;"H14"
"aa";"AA-2513-DFW-DEN";2011-12-01 20:20:00;2011-12-01 20:40:00;"C8";2011-12-01 21:20:00;2011-12-01 21:27:00;"A47"
"aa";"AA-1125-MSP-DFW";2011-12-01 08:30:00;2011-12-01 09:06:00;"E16";2011-12-01 11:15:00;2011-12-01 11:27:00;"D34"
"aa";"AA-1455-ORD-LAX";2011-12-01 15:00:00;2011-12-01 15:12:00;"K9";2011-12-01 17:30:00;2011-12-01 17:47:00;"48B"
"aa";"AA-59-JFK-SFO";2011-12-01 07:10:00;2011-12-01 07:39:00;"36";2011-12-01 10:45:00;2011-12-01 11:12:00;"58B"
"aa";"AA-1106-DFW-OKC";2011-12-01 21:25:00;;"C12";2011-12-01 22:15:00;;"4"
"aa";"AA-557-MIA-STT";2011-12-01 12:00:00;2011-12-01 12:10:00;"D47";2011-12-01 15:30:00;2011-12-01 15:22:00;
"aa";"AA-4195-ORD-MEM";2011-12-01 22:15:00;2011-12-01 22:23:00;"G5";2011-12-02 23:55:00;;"C12A"
"aa";"AA-3808-LAX-PHX";2011-12-01 22:30:00;;"44E";2011-12-02 00:45:00;;"2"
"aa";"AA-2493-DFW-LAX";2011-12-01 21:35:00;2011-12-01 21:51:00;"D38";2011-12-01 23:00:00;;"47B"
"aa";"AA-3535-MIA-CLT";2011-12-01 14:00:00;2011-12-01 14:20:00;"D53";2011-12-01 16:05:00;2011-12-01 16:11:00;"A11"
"aa";"AA-3823-LAX-DEN";2011-12-01 21:00:00;;"44F";2011-12-02 00:15:00;;"A49"
"aa";"AA-1472-DFW-ATL";2011-12-01 11:35:00;2011-12-01 11:42:00;"C31";2011-12-01 14:35:00;2011-12-01 14:26:00;"T12"
"aa";"AA-501-MIA-DEN";2011-12-01 17:25:00;2011-12-01 18:16:00;"E7";2011-12-01 19:50:00;2011-12-01 20:19:00;"A41"
"aa";"AA-264-LAX-BOS";2011-12-01 12:25:00;2011-12-01 13:32:00;"43";2011-12-01 20:50:00;2011-12-01 21:21:00;"B29"
"aa";"AA-935-MIA-CCS";2011-12-01 11:45:00;2011-12-01 12:20:00;"D50";2011-12-01 15:30:00;;"24"
"aa";"AA-2957-DFW-CVG";2011-12-01 07:55:00;2011-12-01 08:04:00;"B25";2011-12-01 11:05:00;2011-12-01 11:01:00;"5"
"aa";"AA-1929-SFO-LAX";2011-12-01 07:00:00;2011-12-01 07:10:00;"55";2011-12-01 08:20:00;2011-12-01 08:14:00;"45"
"aa";"AA-1373-MCO-DFW";2011-12-01 09:20:00;2011-12-01 09:25:00;"13";2011-12-01 11:20:00;2011-12-01 10:50:00;"C24"
"aa";"AA-280-LAX-MIA";2011-12-01 09:00:00;2011-12-01 09:20:00;"49A";2011-12-01 16:45:00;2011-12-01 16:53:00;"D3"
"aa";"AA-3804-PHL-ORD";2011-12-01 14:35:00;2011-12-01 14:44:00;"A7";2011-12-01 16:05:00;2011-12-01 15:43:00;"H3A"
"aa";"AA-1940-ORD-MIA";2011-12-01 19:20:00;2011-12-01 19:51:00;"K13";2011-12-01 23:20:00;2011-12-01 23:17:00;"D16"
"aa";"AA-3532-CLT-MIA";2011-12-01 05:50:00;2011-12-01 06:36:00;"A11";2011-12-01 08:05:00;2011-12-01 08:10:00;"D60"
"aa";"AA-2385-DFW-IAH";2011-12-01 07:05:00;2011-12-01 07:11:00;"C20";2011-12-01 08:15:00;2011-12-01 08:12:00;"A29"
"aa";"AA-3534-CLT-MIA";2011-12-01 10:30:00;2011-12-01 10:48:00;"A11";2011-12-01 12:40:00;2011-12-01 12:23:00;"D55"
"aa";"AA-1442-SAN-ORD";2011-12-01 09:40:00;2011-12-01 09:43:00;"29";2011-12-01 15:40:00;2011-12-01 15:01:00;"K5"
"aa";"AA-536-DFW-ATL";2011-12-01 06:15:00;2011-12-01 06:29:00;"C2";2011-12-01 09:20:00;2011-12-01 09:18:00;"T12"
"aa";"AA-2495-DFW-LAX";2011-12-01 22:30:00;;"D31";2011-12-02 23:50:00;;"46A"
"aa";"AA-474-PHX-DFW";2011-12-01 08:05:00;2011-12-01 08:23:00;"4";2011-12-01 11:25:00;2011-12-01 11:22:00;"C19"
"aa";"AA-145-BOS-LAX";2011-12-01 17:00:00;2011-12-01 17:24:00;"B36";2011-12-01 20:35:00;2011-12-01 20:49:00;"45"
"aa";"AA-4192-CLT-ORD";2011-12-01 14:20:00;2011-12-01 14:37:00;"A11";2011-12-01 15:40:00;2011-12-01 15:23:00;"G3"
"aa";"AA-1811-MIA-IAH";2011-12-01 21:50:00;2011-12-01 23:12:00;"D12";2011-12-02 23:40:00;;"A27"
"aa";"AA-277-MIA-LAX";2011-12-01 16:00:00;2011-12-01 17:38:00;"E9";2011-12-01 18:50:00;;"47B"
"aa";"AA-3830-ORD-IAH";2011-12-01 12:30:00;2011-12-01 12:38:00;"H1A";2011-12-01 15:10:00;2011-12-01 15:05:00;"A29"
"aa";"AA-5026-ORD-CVG";2011-12-01 17:40:00;;"L2C";2011-12-01 19:55:00;2011-12-01 19:43:00;"5"
"aa";"AA-3880-ORD-IAH";2011-12-01 15:15:00;2011-12-01 15:32:00;"G1B";2011-12-01 18:00:00;2011-12-01 18:05:00;"A29"
"aa";"AA-1777-JFK-MCO";2011-12-01 08:50:00;2011-12-01 09:09:00;"34";2011-12-01 11:50:00;2011-12-01 11:32:00;"15"
"aa";"AA-4198-ORD-CLE";2011-12-01 10:40:00;2011-12-01 10:54:00;"H2";2011-12-01 12:55:00;2011-12-01 12:50:00;"A1"
"aa";"AA-3533-MIA-CLT";2011-12-01 22:15:00;;"D60";2011-12-02 00:15:00;;"A11"
"aa";"AA-1494-LAS-DFW";2011-12-01 08:15:00;;"D39";2011-12-01 12:55:00;;"C28"
"aa";"AA-1063-BWI-DFW";2011-12-01 07:05:00;2011-12-01 07:26:00;"C8";2011-12-01 09:45:00;2011-12-01 09:22:00;"C27"
"aa";"AA-75-IAD-LAX";2011-12-01 17:50:00;2011-12-01 18:03:00;"B71";2011-12-01 20:40:00;2011-12-01 20:47:00;"41"
"aa";"AA-3833-ORD-ATL";2011-12-01 11:55:00;2011-12-01 12:03:00;"G13";2011-12-01 14:45:00;2011-12-01 14:30:00;"T10"
"aa";"AA-716-ORD-MCO";2011-12-01 07:00:00;2011-12-01 07:16:00;"K4";2011-12-01 10:25:00;2011-12-01 10:27:00;"15"
"aa";"AA-3719-IAH-LAX";2011-12-01 12:45:00;2011-12-01 12:51:00;"A29";2011-12-01 14:25:00;2011-12-01 14:09:00;"44I"
"aa";"AA-3815-LAX-DEN";2011-12-01 07:20:00;2011-12-01 07:43:00;"44F";2011-12-01 10:35:00;2011-12-01 10:40:00;"A47"
"aa";"AA-2268-PHX-ORD";2011-12-01 07:15:00;2011-12-01 07:22:00;"6";2011-12-01 11:35:00;2011-12-01 11:06:00;"H15"
"aa";"AA-309-ORD-MCO";2011-12-01 11:10:00;2011-12-01 11:32:00;"K4";2011-12-01 14:40:00;2011-12-01 14:43:00;"14"
"aa";"AA-2134-CCS-MIA";2011-12-01 07:00:00;2011-12-01 07:26:00;"27";2011-12-01 09:55:00;2011-12-01 10:02:00;"D40"
"aa";"AA-3505-MIA-CVG";2011-12-01 08:55:00;2011-12-01 09:10:00;"D55";2011-12-01 11:35:00;2011-12-01 11:33:00;"1"
"aa";"AA-942-SAP-MIA";2011-12-01 14:40:00;2011-12-01 15:04:00;;2011-12-01 17:50:00;2011-12-01 18:03:00;"D36"
"aa";"AA-1221-MCO-ORD";2011-12-01 20:00:00;2011-12-01 20:23:00;"17";2011-12-01 21:45:00;2011-12-01 21:53:00;"K7"
"aa";"AA-685-MIA-IAH";2011-12-01 14:50:00;2011-12-01 15:13:00;"D19";2011-12-01 16:40:00;2011-12-01 16:59:00;"A27"
"aa";"AA-3877-PHL-ORD";2011-12-01 09:50:00;2011-12-01 10:03:00;"A7";2011-12-01 11:15:00;2011-12-01 10:57:00;"H5"
"aa";"AA-4180-ORD-CLT";2011-12-01 10:45:00;2011-12-01 10:52:00;"G1B";2011-12-01 13:35:00;2011-12-01 13:18:00;"A11"
"aa";"AA-271-MIA-LAX";2011-12-01 11:35:00;2011-12-01 11:52:00;"D51";2011-12-01 14:25:00;2011-12-01 14:27:00;"46A"
"aa";"AA-3716-ATL-ORD";2011-12-01 15:35:00;2011-12-01 15:51:00;"T10";2011-12-01 16:50:00;2011-12-01 16:34:00;"G8"
"aa";"AA-876-ORD-BOS";2011-12-01 07:05:00;2011-12-01 07:15:00;"K8";2011-12-01 10:15:00;2011-12-01 10:09:00;"B33"
"aa";"AA-3771-ORD-IAH";2011-12-01 08:10:00;2011-12-01 08:45:00;"G8";2011-12-01 11:00:00;2011-12-01 11:11:00;"A29"
"aa";"AA-272-SFO-MIA";2011-12-01 21:20:00;;"56B";2011-12-02 05:25:00;;"D34"
"aa";"AA-4209-CLE-ORD";2011-12-01 18:55:00;2011-12-01 19:06:00;"A3";2011-12-01 19:40:00;2011-12-01 19:14:00;"G2A"
"aa";"AA-3703-ORD-ATL";2011-12-01 17:00:00;2011-12-01 17:31:00;"H5";2011-12-01 19:55:00;2011-12-01 20:05:00;"T10"
"aa";"AA-244-LAX-MCO";2011-12-01 09:15:00;2011-12-01 09:28:00;"48A";2011-12-01 16:50:00;2011-12-01 16:45:00;"17"
"aa";"AA-2419-DFW-LAX";2011-12-01 10:45:00;2011-12-01 11:00:00;"D27";2011-12-01 12:10:00;;"45"
"aa";"AA-1412-MIA-JFK";2011-12-01 20:40:00;2011-12-01 21:02:00;"D15";2011-12-01 23:25:00;2011-12-01 23:31:00;"38"
"aa";"AA-309-LGA-ORD";2011-12-01 08:30:00;2011-12-01 09:19:00;"D7";2011-12-01 10:20:00;2011-12-01 10:24:00;"H10"
"aa";"AA-2907-DFW-CVG";2011-12-01 15:35:00;2011-12-01 15:40:00;"B13";2011-12-01 18:40:00;2011-12-01 18:29:00;"1"
"aa";"AA-3564-MIA-CLT";2011-12-01 07:55:00;2011-12-01 08:04:00;"D55";2011-12-01 09:55:00;2011-12-01 09:58:00;"A11"
"aa";"AA-4388-ORD-DTW";2011-12-01 16:30:00;2011-12-01 16:33:00;"G14";2011-12-01 18:50:00;2011-12-01 18:33:00;"D28"
"aa";"AA-4366-ORD-CVG";2011-12-01 18:45:00;2011-12-01 18:55:00;"G1A";2011-12-01 21:00:00;2011-12-01 20:46:00;"3"
"aa";"AA-2525-DFW-MIA";2011-12-01 07:25:00;2011-12-01 07:39:00;"C4";2011-12-01 11:10:00;2011-12-01 11:06:00;"D1"
"aa";"AA-1682-ORD-MIA";2011-12-01 14:00:00;;"H14";2011-12-01 18:05:00;;"D38"
"aa";"AA-1011-MIA-GCM";2011-12-01 19:15:00;2011-12-01 19:29:00;"D17";2011-12-01 20:40:00;2011-12-01 20:36:00;
"aa";"AA-2463-DFW-LAX";2011-12-01 17:10:00;;"D17";2011-12-01 18:35:00;;"46A"
"aa";"AA-1445-ATL-DFW";2011-12-01 10:55:00;2011-12-01 11:08:00;"T11";2011-12-01 12:30:00;2011-12-01 12:14:00;"C16"
"aa";"AA-3717-IAH-ORD";2011-12-01 18:50:00;2011-12-01 18:56:00;"A29";2011-12-01 21:20:00;2011-12-01 21:31:00;"G13"
"aa";"AA-10-LAX-JFK";2011-12-01 21:20:00;;"47B";2011-12-02 05:30:00;;"42"
"aa";"AA-1664-MIA-ATL";2011-12-01 10:15:00;2011-12-01 10:18:00;"D1";2011-12-01 12:10:00;2011-12-01 11:56:00;"T11"
"aa";"AA-2147-MIA-CUN";2011-12-01 20:00:00;2011-12-01 22:23:00;"E7";2011-12-01 20:45:00;;
"aa";"AA-2281-SDF-DFW";2011-12-01 06:40:00;2011-12-01 06:59:00;"A15";2011-12-01 08:15:00;2011-12-01 08:01:00;"D37"
"aa";"AA-1607-DFW-PHX";2011-12-01 15:20:00;2011-12-01 15:32:00;"C36";2011-12-01 16:50:00;2011-12-01 16:58:00;"4"
"aa";"AA-3549-MIA-CVG";2011-12-01 21:20:00;;"D60";2011-12-01 23:59:00;;"5"
"aa";"AA-2428-LAX-DFW";2011-12-01 08:20:00;2011-12-01 08:44:00;"48B";2011-12-01 13:25:00;2011-12-01 13:20:00;"C26"
"aa";"AA-1624-LAX-ORD";2011-12-01 14:40:00;2011-12-01 15:05:00;"43";2011-12-01 20:40:00;2011-12-01 20:28:00;"K5"
"aa";"AA-2324-DFW-ORD";2011-12-01 06:45:00;2011-12-01 07:00:00;"C26";2011-12-01 09:10:00;2011-12-01 08:58:00;"K7"
"aa";"AA-3015-SMF-LAX";2011-12-01 09:55:00;2011-12-01 10:06:00;"B7";2011-12-01 11:25:00;2011-12-01 11:14:00;"44D"
"aa";"AA-484-DFW-MIA";2011-12-01 16:15:00;2011-12-01 16:29:00;"D18";2011-12-01 19:55:00;2011-12-01 19:39:00;"D43"
"aa";"AA-4288-DTW-ORD";2011-12-01 21:55:00;2011-12-01 21:59:00;"D28";2011-12-01 22:20:00;2011-12-01 21:50:00;"G2A"
"aa";"AA-4310-CLT-ORD";2011-12-01 11:10:00;2011-12-01 11:15:00;"A9";2011-12-01 12:20:00;2011-12-01 12:00:00;"G2A"
"aa";"AA-4353-ORD-CLE";2011-12-01 20:05:00;2011-12-01 20:24:00;"H1B";2011-12-01 22:20:00;2011-12-01 22:18:00;"A1"
"aa";"AA-2473-DFW-LAX";2011-12-01 18:05:00;2011-12-01 18:33:00;"D29";2011-12-01 19:25:00;2011-12-01 19:36:00;"48A"
"aa";"AA-1206-PHX-ORD";2011-12-01 16:25:00;2011-12-01 16:45:00;"6";2011-12-01 20:50:00;2011-12-01 20:28:00;"H11A"
"aa";"AA-32-LAX-JFK";2011-12-01 13:45:00;2011-12-01 14:04:00;"49A";2011-12-01 22:05:00;2011-12-01 21:43:00;"14"
"aa";"AA-3768-EWR-ORD";2011-12-01 06:00:00;2011-12-01 06:19:00;"35";2011-12-01 07:35:00;2011-12-01 07:29:00;"G13"
"aa";"AA-3805-PHX-LAX";2011-12-01 18:00:00;2011-12-01 20:09:00;"2";2011-12-01 18:35:00;;"44F"
"aa";"AA-618-SFO-ORD";2011-12-01 17:50:00;2011-12-01 17:54:00;"56A";2011-12-01 23:50:00;;"H9"
"aa";"AA-3735-CLE-ORD";2011-12-01 16:35:00;;"A3";2011-12-01 17:10:00;;"G3"
